Dataset,Metric,Mean,Std_Top10,Std_All100,Training_Time_Mean,Training_Time_Std
SYNTHETIC,accuracy,0.485333,0.019576,0.083191,3.3462,0.5585
SYNTHETIC,balanced_accuracy,0.500000,0.000000,0.000000,3.3462,0.5585
SYNTHETIC,f1,0.304577,0.109606,0.329627,3.3462,0.5585
SYNTHETIC,f1_macro,0.324648,0.008587,0.038021,3.3462,0.5585
SYNTHETIC,recall,0.470000,0.163639,0.501614,3.3462,0.5585
SYNTHETIC,roc_auc,0.504469,0.017862,0.047818,3.3462,0.5585
