Dataset,Graphs,AvgNodes,AvgEdges,NodeFeatures,EdgeFeatures,TotalFeatures,ClassPercentages,CatAttrClasses,PathBoostAccuracy_times 100,PathBoostAccuracy,PathBoostStd10,PathBoostStd100,GNNAccuracy,GNNStd10,GNNStd100,KernelAccuracy,source_file,source_file_dup,PathBoostAccuracy_times_100,Weisfeiler-Lehman subtree kernel_accuracy,Weisfeiler-Lehman subtree kernel_std_10,Weisfeiler-Lehman subtree kernel_std_100,Weisfeiler-Lehman subtree kernel linear_accuracy,Weisfeiler-Lehman subtree kernel linear_std_10,Weisfeiler-Lehman subtree kernel linear_std_100,Graphlet kernel_accuracy,Graphlet kernel_std_10,Graphlet kernel_std_100,Graphlet kernel linear_accuracy,Graphlet kernel linear_std_10,Graphlet kernel linear_std_100,Shortest-path kernel_accuracy,Shortest-path kernel_std_10,Shortest-path kernel_std_100,Shortest-path kernel linear_accuracy,Shortest-path kernel linear_std_10,Shortest-path kernel linear_std_100,Weisfeiler-Lehman optimal assignment kernel_accuracy,Weisfeiler-Lehman optimal assignment kernel_std_10,Weisfeiler-Lehman optimal assignment kernel_std_100,GNN_accuracy,GNN_accuracy_std10,GNN_accuracy_std100,GNN_balanced_accuracy,GNN_balanced_accuracy_std10,GNN_balanced_accuracy_std100,GNN_f1,GNN_f1_macro,GNN_f1_macro_std10,GNN_f1_macro_std100,GNN_f1_std10,GNN_f1_std100,GNN_recall,GNN_recall_std10,GNN_recall_std100,GNN_roc_auc,GNN_roc_auc_std10,GNN_roc_auc_std100,PB_accuracy,PB_accuracy_std10,PB_accuracy_std100,PB_balanced_accuracy,PB_balanced_accuracy_std10,PB_balanced_accuracy_std100,PB_f1,PB_f1_macro,PB_f1_macro_std10,PB_f1_macro_std100,PB_f1_std10,PB_f1_std100,PB_recall,PB_recall_std10,PB_recall_std100,ClassPercentages,fist_class_percentage,n_graphs_firs_class
MOLT-4,39765,26.1,28.14,1,1,2,"0: 92.10%, 1: 7.90%",64,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results_20251103_103724_64d908cf.csv,-100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 92.10%, 1: 7.90%",,39765
MUTAG,188,17.93,19.79,1,1,2,"-1: 33.51%, 1: 66.49%",7,89.11111111,0.891111111,0.010763412,0.075570084,82.82748538,2.183920849,10.73930515,-1,combined_dataset_summary_4d7f1ce9.csv,kernel_baseline_results.csv,89.11111111,76.35087719,2.106675939,9.166587854,76.32748538,2.516428019,9.135442592,85.3245614,0.824379931,8.188355694,83.35087719,1.190902326,9.602654367,85.3245614,0.824379931,8.188355694,83.43859649,1.309484569,8.437131336,-1,-1,-1,0.832953216,0.02644221,0.096373154,0.824600106,0.03449045,0.118741212,0.868629935,0.804599641,0.032921086,0.116934831,0.020078206,0.079132641,0.855632752,0.033998349,0.099755014,0.911643491,0.018511824,0.090063546,0.863245614,0.019608359,0.085306424,0.83908495,0.02355272,0.094080822,0.894527763,0.838642494,0.021065287,0.094835817,0.014155068,0.07246301,0.9101699,0.017286883,0.09175912,"-1: 33.51%, 1: 66.49%",33.51,125
NCI-H23,40353,26.07,28.1,1,1,2,"0: 94.90%, 1: 5.10%",65,95.1790444,0.951790444,0.000418794,0.003097483,-1,-1,-1,-1,combined_dataset_summary_77bf53cb.csv,kernel_baseline_results.csv,95.1790444,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.87348682,0.006464434,0.289520147,-1,-1,-1,94.87671023,0.009216325,0.324462147,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 94.90%, 1: 5.10%",94.9,2058
NCI-H23H,40353,46.67,48.7,1,1,2,"0: 94.90%, 1: 5.10%",66,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results.csv,-100,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.87695769,0.008369623,0.31831917,-1,-1,-1,94.88266076,0.009534911,0.29365601,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 94.90%, 1: 5.10%",,40353
OHSU,79,82.01,199.66,1,0,1,"-1: 44.30%, 1: 55.70%",190,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results.csv,-100,50.53571429,3.49014648,16.23822179,52.35714286,2.798277531,15.08031221,52.41071429,3.486718605,16.62992868,48.05357143,3.026719869,18.31745118,53.76785714,2.035165966,15.25065865,47.58928571,3.122958517,17.21223869,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1: 44.30%, 1: 55.70%",,79
OVCAR-8,40516,26.08,28.11,1,1,2,"0: 94.87%, 1: 5.13%",65,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results_20251103_103734_f69685de.csv,-100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 94.87%, 1: 5.13%",,40516
PROTEINS,1113,39.06,72.82,2,0,2,"1: 59.57%, 2: 40.43%",0,-100,-1,-1,-1,71.9546332,1.133757695,4.896345003,-1,combined_dataset_summary_c3a7ac84.csv,kernel_baseline_results.csv,-100,73.05550193,0.709957979,3.855191997,73.0453668,0.866258144,3.807196931,-1,-1,-1,72.21846847,0.630529255,4.614401901,-1,-1,-1,72.13722651,0.428745886,4.130525678,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: 59.57%, 2: 40.43%",,1113
PROTEINS_full,1113,39.06,72.82,30,0,30,"1: 59.57%, 2: 40.43%",3,78.9956564,0.789956564,0.005058295,0.037813103,71.49686293,1.207253366,5.185264924,-1,combined_dataset_summary_c3a7ac84.csv,kernel_baseline_results.csv,78.9956564,73.05550193,0.709957979,3.855191997,73.03354247,0.517604555,4.188734843,-1,-1,-1,72.57826577,0.813628178,3.858187226,-1,-1,-1,72.10907336,0.720526962,3.866407663,-1,-1,-1,0.756348225,0.011402916,0.054023434,,,,,,,,,,,,,,,,0.714870495,0.008670185,0.046161318,0.691782497,0.008581923,0.04815446,0.610660813,0.691423244,0.010370781,0.053906671,0.016827228,0.0818118,0.566053625,0.021384897,0.100668799,"1: 59.57%, 2: 40.43%",59.457,451
PTC_FM,349,14.11,14.48,1,1,2,"-1: 59.03%, 1: 40.97%",18,61.80084034,0.618008403,0.009463621,0.076906988,59.54537815,1.86941249,8.75080954,-1,combined_dataset_summary_616c6594.csv,kernel_baseline_results.csv,61.80084034,62.84201681,1.739507165,7.846007298,62.58319328,1.761346142,8.274777755,56.63781513,1.724342105,8.846313082,57.82689076,2.375849467,9.17797122,56.63781513,1.724342105,8.846313082,58.22184874,1.966703271,9.49479968,-1,-1,-1,0.593495798,0.032439278,0.089308003,0.557007116,0.022639837,0.076517073,0.390862747,0.532786875,0.027135245,0.08924493,0.043460631,0.146485851,0.351343803,0.065474284,0.190743682,0.580945358,0.017956241,0.096958783,0.570932773,0.018424068,0.087474996,0.534748887,0.017683595,0.080526704,0.366578119,0.517188215,0.019132006,0.089848129,0.026306922,0.133400527,0.320889425,0.025250592,0.140366032,"-1: 59.03%, 1: 40.97%",59.03,143
PTC_FR,351,14.56,15,1,1,2,"-1: 65.53%, 1: 34.47%",0,-100,0.638428571,-1,-1,64.61587302,1.561053614,7.840721335,-1,combined_dataset_summary_a25f6335.csv,kernel_baseline_results.csv,63.84285714,65.21349206,1.817527725,7.196532848,66.6968254,1.488952346,8.087459537,66.36587302,1.177454979,6.832815228,67.54206349,0.576521069,7.954704972,66.40952381,0.597753416,7.030896075,67.54206349,0.576521069,7.954704972,-1,-1,-1,0.570764784,0.022139715,0.102279539,,,,,,,,,,,,,,,,0.638428571,0.024547066,0.079604192,0.546927773,0.024537306,0.068785617,0.283122551,0.517580375,0.027652051,0.088399266,0.046590651,0.151760253,0.235668798,0.049151978,0.159045927,"-1: 65.53%, 1: 34.47%",,351
