Dataset,Graphs,AvgNodes,AvgEdges,NodeFeatures,EdgeFeatures,TotalFeatures,ClassPercentages,CatAttrClasses,PathBoostAccuracy_times 100,PathBoostAccuracy,PathBoostStd10,PathBoostStd100,GNNAccuracy,GNNStd10,GNNStd100,KernelAccuracy,source_file,source_file_dup,PathBoostAccuracy_times_100,Weisfeiler-Lehman subtree kernel_accuracy,Weisfeiler-Lehman subtree kernel_std_10,Weisfeiler-Lehman subtree kernel_std_100,Weisfeiler-Lehman subtree kernel linear_accuracy,Weisfeiler-Lehman subtree kernel linear_std_10,Weisfeiler-Lehman subtree kernel linear_std_100,Graphlet kernel_accuracy,Graphlet kernel_std_10,Graphlet kernel_std_100,Graphlet kernel linear_accuracy,Graphlet kernel linear_std_10,Graphlet kernel linear_std_100,Shortest-path kernel_accuracy,Shortest-path kernel_std_10,Shortest-path kernel_std_100,Shortest-path kernel linear_accuracy,Shortest-path kernel linear_std_10,Shortest-path kernel linear_std_100,Weisfeiler-Lehman optimal assignment kernel_accuracy,Weisfeiler-Lehman optimal assignment kernel_std_10,Weisfeiler-Lehman optimal assignment kernel_std_100,GNN_accuracy,GNN_accuracy_std10,GNN_accuracy_std100,GNN_balanced_accuracy,GNN_balanced_accuracy_std10,GNN_balanced_accuracy_std100,GNN_f1,GNN_f1_macro,GNN_f1_macro_std10,GNN_f1_macro_std100,GNN_f1_std10,GNN_f1_std100,GNN_recall,GNN_recall_std10,GNN_recall_std100,GNN_roc_auc,GNN_roc_auc_std10,GNN_roc_auc_std100,PB_accuracy,PB_accuracy_std10,PB_accuracy_std100,PB_balanced_accuracy,PB_balanced_accuracy_std10,PB_balanced_accuracy_std100,PB_f1,PB_f1_macro,PB_f1_macro_std10,PB_f1_macro_std100,PB_f1_std10,PB_f1_std100,PB_recall,PB_recall_std10,PB_recall_std100,ClassPercentages,fist_class_percentage,n_graphs_firs_class
Tox21_AR-LBD_testing,253,21.85,22.73,1,1,2,"0: 98.42%, 1: 1.58%",15,98.41538462,0.984153846,6.88E-05,0.021744618,98.41692308,0.014513817,2.167243498,-1,combined_dataset_summary_953aeed0.csv,kernel_baseline_results.csv,98.41538462,97.19846154,0.651241872,2.908001205,97.19384615,0.682189305,2.858486379,97.70307692,0.498520889,3.08784638,97.91230769,0.501078128,2.961548851,97.70307692,0.498520889,3.08784638,97.82461538,0.407050293,2.821726359,-1,-1,-1,0.984169231,0.000152989,0.021781617,0.815,0.024152295,0.242618294,0.63,0.81094996,0.024138765,0.247935892,0.048304589,0.485236587,0.63,0.048304589,0.485236587,,,,0.9794,0.003613438,0.025487555,0.811190385,0.024647203,0.242061314,0,0.774712545,0.042713789,0.255453297,0,0,0,0,0,"0: 98.42%, 1: 1.58%",98.42,4
Tox21_AR-LBD_training,8599,17.77,18.16,1,1,2,"0: 96.48%, 1: 3.52%",49,98.0997699,0.980997699,0.000209506,0.004441514,-1,-1,-1,-1,combined_dataset_summary_953aeed0.csv,kernel_baseline_results.csv,98.0997699,98.19165742,0.065219811,0.451387211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.979858096,0.000244268,0.004686329,0.783734548,0.004179256,0.048168471,0.66215175,0.825880986,0.002782386,0.041439278,0.005452821,0.081128726,0.572747911,0.008434231,0.096290718,"0: 96.48%, 1: 3.52%",96.48,303
Tox21_ARE_evaluation,552,17.01,17.33,1,1,2,"0: 83.51%, 1: 16.49%",25,83.37045455,0.833704545,0.001785623,0.046478148,81.95454545,0.761544644,4.908199689,-1,combined_dataset_summary_98e5df9e.csv,kernel_baseline_results.csv,83.37045455,81.26818182,1.32654741,5.131938634,82.26136364,0.746156241,5.681204744,82.24220779,0.50437703,4.685889083,82.78701299,0.467278069,4.905120448,82.53571429,0.507011473,4.791324532,82.78409091,0.438389243,4.979527524,-1,-1,-1,0.813172078,0.007140185,0.052423202,0.538533774,0.013782393,0.056908401,0.16061801,0.526937645,0.016719273,0.076163933,0.036764052,0.149492571,0.128485652,0.037748665,0.13090425,0.693019159,0.034735238,0.117319318,0.80162013,0.006551445,0.055049436,0.520917313,0.015103156,0.060617913,0.134229759,0.5105233,0.019896672,0.077446692,0.038817318,0.14095573,0.101756702,0.032808486,0.113266651,"0: 83.51%, 1: 16.49%",83.51,91
Tox21_ARE_testing,234,21.99,22.91,1,1,2,"0: 79.49%, 1: 20.51%",15,79.39855072,0.793985507,0.008461444,0.089128991,79.20652174,1.885256029,8.863402324,-1,combined_dataset_summary_98e5df9e.csv,kernel_baseline_results.csv,79.39855072,78.05978261,2.12581838,7.721935749,78.40942029,1.410155912,7.591741809,80.63224638,1.238909263,8.172000648,78.46557971,1.483385946,7.516376392,80.20471014,1.257070165,8.007937171,79,1.062397678,8.656792701,-1,-1,-1,0.789673913,0.011898434,0.082019172,0.599661956,0.030090112,0.102560899,0.311409812,0.591103156,0.034767012,0.119182375,0.067128817,0.226171889,0.280678571,0.065874502,0.223400084,0.760476473,0.037019158,0.126071334,0.763297101,0.017220672,0.087536425,0.557759252,0.021970627,0.109763851,0.232707622,0.543900446,0.018859381,0.117130764,0.031081749,0.218372506,0.210257937,0.034191667,0.216353367,"0: 79.49%, 1: 20.51%",79.49,48
Tox21_ARE_training,7167,16.28,16.52,1,1,2,"0: 84.68%, 1: 15.32%",46,84.7859486,0.847859486,0.000644256,0.013000192,-1,-1,-1,-1,combined_dataset_summary_98e5df9e.csv,kernel_baseline_results.csv,84.7859486,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.74397513,0.080848196,1.32223121,-1,-1,-1,84.74397513,0.080848196,1.32223121,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.847190283,0.001253597,0.013175503,0.519862243,0.003751055,0.01016743,0.086740042,0.501646409,0.00713148,0.019160245,0.013871138,0.036777888,0.047946065,0.00792864,0.021283291,"0: 84.68%, 1: 15.32%",84.68,1098
Tox21_AR_evaluation,585,17.99,18.45,1,1,2,"0: 97.95%, 1: 2.05%",22,97.91320865,0.979132086,0.00067167,0.016134787,97.92986558,0.052262043,1.78882276,-1,combined_dataset_summary_b48b253e.csv,kernel_baseline_results.csv,97.91320865,97.05990649,0.310549071,1.97773798,-1,-1,-1,97.55669199,0.202521584,1.660907001,97.50029223,0.082314632,1.85184368,97.47223846,0.213249468,2.177187482,97.50409117,0.158442163,2.138788909,-1,-1,-1,0.978451198,0.002303477,0.019416705,0.639396552,0.050776846,0.225470462,0.274,0.63150318,0.051451461,0.226097496,0.10373042,0.44554359,0.28,0.103279556,0.45126086,,,,0.973655757,0.002838137,0.018912451,0.611606735,0.041178535,0.211402167,0,0.583279766,0.039704789,0.196260982,0,0,0,0,0,"0: 97.95%, 1: 2.05%",97.95,12
Tox21_AR_testing,292,22.35,23.32,1,1,2,"0: 98.97%, 1: 1.03%",15,98.97356322,0.989735632,7.36E-05,0.017767643,98.97011494,0.007624425,1.851104372,-1,combined_dataset_summary_b48b253e.csv,kernel_baseline_results.csv,98.9735632,97.80114943,0.492433164,2.254553385,-1,-1,-1,97.53333333,0.872809717,2.693062975,97.33103448,0.626870039,3.500923005,97.33448276,0.883286031,3.109134637,97.46206897,0.771020226,2.979326309,-1,-1,-1,0.989701149,8.04E-05,0.018604299,0.87,0.025819889,0.220422001,0.74,0.867367784,0.02579988,0.224891421,0.051639778,0.440844002,0.74,0.051639778,0.440844002,,,,0.988356322,0.001777423,0.019607151,0.863953202,0.024125627,0.223332362,0,0.852022905,0.028618346,0.232713056,0,0,0,0,0,"0: 98.97%, 1: 1.03%",98.97,3
Tox21_AR_training,9362,18.39,18.85,1,1,2,"0: 95.94%, 1: 4.06%",50,97.5539969,0.975539969,0.001495621,0.006191505,-1,-1,-1,-1,combined_dataset_summary_b48b253e.csv,kernel_baseline_results.csv,97.5539969,97.66827322,0.053399791,0.505143904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95.89296172,0.018626235,0.68060723,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.972752134,0.001784858,0.007127937,0.713257936,0.025032276,0.086799852,0.534064259,0.760003785,0.031003529,0.105638004,0.061135965,0.208269651,0.43080145,0.05051931,0.17504548,"0: 95.94%, 1: 4.06%",95.94,380
Tox21_ATAD5_evaluation,619,17.68,18.11,1,1,2,"0: 94.02%, 1: 5.98%",24,94.00608144,0.940060814,0.000875709,0.030508252,94.00317292,0.04688347,2.597971437,-1,combined_dataset_summary_f2b0f2e3.csv,kernel_baseline_results.csv,94.0060814,93.32892649,0.271514814,3.361188261,-1,-1,-1,93.68006346,0.19694508,3.06816068,93.8442623,0.088972811,2.881334705,93.81570598,0.124421584,2.718508636,93.84637758,0.087822859,3.058095009,-1,-1,-1,0.94019302,4.57E-05,0.025828596,0.505,0.015811388,0.05,0.01,0.489496637,0.015799533,0.052000026,0.031622777,0.1,0.01,0.031622777,0.1,,,,0.929701216,0.005260091,0.031239005,0.52631907,0.025019597,0.092477906,0.052715007,0.512946442,0.022845347,0.078890692,0.033522788,0.122755467,0.037345238,0.025685429,0.09161139,"0: 94.02%, 1: 5.98%",94.02,37
Tox21_ATAD5_testing,272,21.99,22.89,1,1,2,"0: 90.81%, 1: 9.19%",15,91.0767196,0.910767196,0.001602878,0.054066534,90,0.712839021,6.216340172,-1,combined_dataset_summary_f2b0f2e3.csv,kernel_baseline_results.csv,91.0767196,89.54365079,1.188243792,5.589915633,89.95767196,0.785246507,5.170711903,89.05026455,0.848950826,5.673988941,89.52248677,0.643446123,5.225664496,89.2526455,0.615079365,5.537586682,89.51455026,0.765324529,5.335227071,-1,-1,-1,0.900740741,0.005152206,0.056544049,0.53359791,0.037358069,0.119363458,0.081571359,0.499504414,0.033081535,0.102903102,0.077338181,0.251481961,0.077685185,0.075486092,0.243981237,,,,0.896759259,0.006477806,0.055953809,0.572576555,0.049652709,0.151646318,0.108333333,0.551236665,0.038401953,0.150196696,0.057160161,0.210931609,0.089261905,0.053925105,0.185577796,"0: 90.81%, 1: 9.19%",90.81,25
Tox21_ATAD5_training,9091,17.89,18.3,1,1,2,"0: 96.28%, 1: 3.72%",50,96.36123623,0.963612362,0.000213294,0.005873503,-1,-1,-1,-1,combined_dataset_summary_f2b0f2e3.csv,kernel_baseline_results.csv,96.36123623,97.07293125,0.141598768,0.537494032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96.29965183,0.019189206,0.544921881,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.963282354,0.000502109,0.005901366,0.520965859,0.004117282,0.015555617,0.078722423,0.529990571,0.007385755,0.027971736,0.014544886,0.054971986,0.043097034,0.008126401,0.031079942,"0: 96.28%, 1: 3.72%",96.28,338
Tox21_AhR_evaluation,607,17.64,18.06,1,1,2,"0: 88.47%, 1: 11.53%",25,88.60136612,0.886013661,0.001216043,0.037818821,87.90491803,0.7220426,4.38999178,-1,combined_dataset_summary_34f62a22.csv,kernel_baseline_results.csv,88.60136612,87.24945355,0.557211014,3.923581089,87.84453552,0.632306142,4.256793589,87.97322404,0.286598347,3.898682851,87.65901639,0.257700538,4.313282465,87.97213115,0.215555589,4.11197117,87.69726776,0.35894153,3.966277946,-1,-1,-1,0.876248634,0.006534239,0.046787948,0.580698564,0.021735664,0.088227066,0.224472695,0.578151976,0.026762379,0.099062151,0.051595377,0.189669732,0.193948274,0.045401907,0.191239739,0.84711623,0.013913151,0.077242266,0.87463388,0.005635061,0.037195906,0.55433219,0.012240071,0.066876813,0.185327201,0.558390351,0.014080254,0.085866199,0.025689586,0.167443721,0.138731962,0.022665637,0.13533589,"0: 88.47%, 1: 11.53%",88.47,70
Tox21_AhR_testing,272,22.13,23.05,1,1,2,"0: 88.60%, 1: 11.40%",15,89.33862434,0.893386243,0.004734267,0.065194064,86.54365079,1.991723114,6.274858322,-1,combined_dataset_summary_34f62a22.csv,kernel_baseline_results_20251103_103800_373d1a1e.csv,89.33862434,86.73677249,1.030253465,6.288506558,86.44444444,1.420080587,6.308441667,87.86640212,0.551511167,5.944228839,87.90079365,0.516823504,5.921774783,87.94047619,0.77540874,5.784313191,87.90079365,0.516823504,5.921774783,-1,-1,-1,0.870714286,0.015693949,0.066524606,0.584757158,0.04837693,0.15881869,0.207344156,0.567521891,0.046100259,0.158723875,0.094249316,0.302350935,0.21102381,0.109515473,0.327917708,,,,0.876798942,0.01369503,0.067735237,0.583110127,0.057925337,0.161760922,0.13231746,0.552275035,0.059450218,0.160009935,0.087895875,0.248292178,0.111619048,0.07895001,0.224878293,"0: 88.60%, 1: 11.40%",88.6,31
Tox21_AhR_training,8169,18.09,18.5,1,1,2,"0: 88.37%, 1: 11.63%",50,88.88476642,0.888847664,0.000964246,0.011061682,-1,-1,-1,-1,combined_dataset_summary_34f62a22.csv,kernel_baseline_results_20251103_103800_373d1a1e.csv,88.88476642,92.83509882,0.130725831,0.872462433,-1,-1,-1,-1,-1,-1,88.47348171,0.059012452,1.0817888,-1,-1,-1,88.48817859,0.064287387,1.05610819,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.885420147,0.00093906,0.010849313,0.517387386,0.003738364,0.015702761,0.068949771,0.503928768,0.006723114,0.029384032,0.013079692,0.057512654,0.037838255,0.007629137,0.032879861,"0: 88.37%, 1: 11.63%",88.37,950
Tox21_ER-LBD_evaluation,599,17.75,18.17,1,1,2,"0: 96.66%, 1: 3.34%",24,96.8121469,0.968121469,0.000884343,0.022635541,96.66214689,0.004227861,2.32471878,-1,combined_dataset_summary_f0089c73.csv,kernel_baseline_results.csv,96.8121469,95.90875706,0.342505358,2.341833654,96.07740113,0.212481962,2.491669609,96.26101695,0.225699674,2.431504522,96.32909605,0.106338205,2.273084259,96.41158192,0.201901531,2.433646412,96.46101695,0.121736665,2.292748646,-1,-1,-1,0.966454802,0.000532869,0.023423347,0.584913793,0.041245894,0.188803759,0.17,0.576398899,0.041204399,0.192731136,0.08232726,0.377525168,0.17,0.08232726,0.377525168,,,,0.959771186,0.003278688,0.024071467,0.598507999,0.055217196,0.180017143,0.084047619,0.561656534,0.036876143,0.151395426,0.026395303,0.203399243,0.078666667,0.043658325,0.201468793,"0: 96.66%, 1: 3.34%",96.66,20
Tox21_ER-LBD_testing,287,22.28,23.23,1,1,2,"0: 96.52%, 1: 3.48%",15,96.51970443,0.965197044,0.000167052,0.031126038,96.51231527,0.016338053,3.032452859,-1,combined_dataset_summary_f0089c73.csv,kernel_baseline_results.csv,96.51970443,95.47044335,0.650003687,3.817200821,94.74261084,0.679228223,4.408581292,95.81896552,0.520055971,3.490043271,95.51724138,0.699979893,4.327411673,95.78571429,0.433133524,3.240090443,95.61453202,0.382188317,3.90958532,-1,-1,-1,0.964421182,0.001571183,0.030488865,0.669469987,0.026298534,0.237730039,0.339824561,0.655822163,0.033962544,0.242807963,0.051793523,0.475852736,0.339655172,0.051947156,0.475624628,,,,0.954027094,0.002244738,0.035391781,0.652139629,0.051313478,0.231250571,0,0.598068703,0.039564575,0.214644355,0,0,0,0,0,"0: 96.52%, 1: 3.48%",96.52,10
Tox21_ER-LBD_training,8753,18.06,18.47,1,1,2,"0: 94.90%, 1: 5.10%",49,96.00251794,0.960025179,0.000344515,0.005772629,-1,-1,-1,-1,combined_dataset_summary_f0089c73.csv,kernel_baseline_results.csv,96.00251794,96.66052577,0.06403461,0.635381273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95.00057273,0.032413192,0.734587155,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.957797521,0.000421704,0.006590926,0.620909913,0.002732366,0.030290313,0.369253646,0.67370291,0.002984111,0.038639845,0.005924324,0.075649481,0.245804666,0.005750903,0.060364702,"0: 94.90%, 1: 5.10%",94.9,446
Tox21_ER_evaluation,515,17.66,18.1,1,1,2,"0: 90.29%, 1: 9.71%",21,90.5075415,0.905075415,0.001324297,0.040376591,89.90271493,0.401107394,3.961141484,-1,combined_dataset_summary_17f74f7d.csv,kernel_baseline_results.csv,90.5075415,89.37028658,0.639864533,4.488980525,-1,-1,-1,89.66779789,0.196226667,4.373451013,89.29675716,0.489270649,4.295358007,89.62556561,0.468589396,4.222300638,89.4392911,0.357851084,4.140948849,-1,-1,-1,0.899200603,0.003353759,0.040095539,0.499765633,0.004237213,0.016543351,0.0065,0.476469308,0.007091081,0.026625944,0.014151953,0.046955276,0.003928571,0.008658617,0.028668216,0.569004663,0.03568401,0.177201724,0.892281297,0.004301584,0.045655445,0.514829902,0.018995663,0.06332326,0.052668332,0.502400192,0.024592727,0.076596833,0.040087288,0.114956537,0.03609127,0.02790781,0.080020311,"0: 90.29%, 1: 9.71%",90.29,50
Tox21_ER_testing,265,22.16,23.13,1,1,2,"0: 89.81%, 1: 10.19%",15,89.62535613,0.896253561,0.003090249,0.054009856,89.55270655,0.233131311,5.443057783,-1,combined_dataset_summary_17f74f7d.csv,kernel_baseline_results.csv,89.62535613,88.82193732,0.619978959,6.404570286,88.40883191,0.80878695,6.364370591,88.43874644,0.599686338,6.002569775,88.28632479,0.629592566,5.917216884,88.91168091,0.651207519,5.904407017,88.26068376,0.57389731,6.160572423,-1,-1,-1,0.891666667,0.010395987,0.063463348,0.518760115,0.026157901,0.099115274,0.041538462,0.491444215,0.026493003,0.105376884,0.050532991,0.19723145,0.045,0.049721446,0.202197523,,,,0.87508547,0.007959509,0.060931539,0.513118279,0.027369648,0.100564224,0.02852381,0.485322076,0.027832045,0.083030055,0.031064469,0.119353134,0.025833333,0.032972585,0.122917558,"0: 89.81%, 1: 10.19%",89.81,27
Tox21_ER_training,7697,17.58,17.94,1,1,2,"0: 87.83%, 1: 12.17%",49,88.921573,0.88921573,0.0008006,0.011264964,-1,-1,-1,-1,combined_dataset_summary_17f74f7d.csv,kernel_baseline_results.csv,88.921573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87.76396906,0.02908452,1.091208534,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.888488187,0.001033666,0.011005688,0.575362827,0.002443462,0.0185673,0.258947424,0.599306658,0.003272326,0.027719838,0.006301217,0.05236182,0.161405995,0.004968109,0.037382875,"0: 87.83%, 1: 12.17%",87.83,937
Tox21_HSE_evaluation,607,17.61,18.01,1,1,2,"0: 96.71%, 1: 3.29%",25,96.72295082,0.967229508,0.000497718,0.019651774,96.70191257,0.003335124,2.273976911,-1,combined_dataset_summary_b2675522.csv,kernel_baseline_results.csv,96.72295082,95.99644809,0.40072393,2.648877034,96.03005464,0.392591672,2.653925431,96.47404372,0.249991042,2.536259122,96.32486339,0.24684836,2.555427819,96.47404372,0.249991042,2.536259122,96.32486339,0.24684836,2.555427819,-1,-1,-1,0.967019126,3.52E-05,0.022854328,0.55,0.052704628,0.150755672,0.1,0.54154786,0.052679816,0.153677191,0.105409255,0.301511345,0.1,0.105409255,0.301511345,,,,0.961445355,0.001787406,0.020444884,0.540775466,0.048695007,0.137595893,0.02,0.520113768,0.035163328,0.116281028,0.042163702,0.121439181,0.018333333,0.038849186,0.115797629,"0: 96.71%, 1: 3.29%",96.71,20
Tox21_HSE_testing,267,22.07,23,1,1,2,"0: 96.25%, 1: 3.75%",15,96.22507123,0.962250712,0.001155516,0.032241915,96.16809117,0.154740463,3.620224008,-1,combined_dataset_summary_b2675522.csv,kernel_baseline_results.csv,96.22507123,94.37749288,1.115468299,4.775988322,94.82905983,0.846350472,4.326288453,94.002849,0.891901717,4.508158798,94.71794872,0.47171435,3.97411287,94.61538462,0.508529052,4.224841646,94.5,0.594358603,4.669970853,-1,-1,-1,0.962450142,0.000234551,0.034691252,0.68,0.048304589,0.241209076,0.36,0.670273821,0.048234053,0.248598627,0.096609178,0.482418151,0.36,0.096609178,0.482418151,,,,0.954031339,0.003854674,0.031656501,0.645119373,0.053894667,0.223025764,0.006666667,0.576432502,0.045956502,0.195699267,0.021081851,0.066666667,0.005,0.015811388,0.05,"0: 96.25%, 1: 3.75%",96.25,10
Tox21_HSE_training,8150,16.72,17.04,1,1,2,"0: 94.75%, 1: 5.25%",48,94.75460123,0.947546012,0.000113123,0.007733712,-1,-1,-1,-1,combined_dataset_summary_b2675522.csv,kernel_baseline_results.csv,94.75460123,95.64907975,0.165002164,0.663126334,-1,-1,-1,-1,-1,-1,95.16809816,0.029447853,0.66863398,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.947116564,0.000347046,0.00776117,0.502071821,0.001548451,0.005692861,0.009049633,0.490933423,0.002877831,0.011293878,0.005629608,0.021795391,0.004790224,0.002996386,0.011595841,"0: 94.75%, 1: 5.25%",94.75,428
Tox21_MMP_evaluation,541,16.67,16.88,1,1,2,"0: 89.28%, 1: 10.72%",24,90.31649832,0.903164983,0.004777516,0.038732658,89.62558923,0.658522165,4.050031403,-1,combined_dataset_summary_d6dd035a.csv,kernel_baseline_results_20251103_104504_3af044f0.csv,90.31649832,88.77777778,0.696206417,4.154987202,-1,-1,-1,89.27811448,0.418637011,4.144892793,88.72222222,0.376301605,4.36760008,89.27811448,0.418637011,4.144892793,88.79427609,0.312632926,3.938417373,-1,-1,-1,0.899754209,0.007826479,0.038294319,0.635731762,0.033487699,0.109127566,0.357747884,0.651390309,0.034371222,0.117716648,0.066530722,0.224591816,0.298695166,0.07012348,0.220489727,0.846173639,0.022058955,0.105547594,0.885592593,0.003651899,0.038913908,0.60483405,0.016635499,0.090312363,0.283867716,0.610507001,0.017232144,0.095917431,0.033700221,0.185057806,0.236540765,0.032516529,0.169461115,"0: 89.28%, 1: 10.72%",89.28,58
Tox21_MMP_testing,238,21.68,22.55,1,1,2,"0: 84.03%, 1: 15.97%",15,85.83695652,0.858369565,0.008920257,0.078008172,82.00724638,2.881457753,8.331477424,-1,combined_dataset_summary_d6dd035a.csv,kernel_baseline_results_20251103_104504_3af044f0.csv,85.83695652,86.3134058,2.112993808,6.153736455,86.22644928,1.62329455,6.587652773,82.46557971,1.52846276,8.235894383,82.73550725,1.353759148,6.991087321,82.34057971,1.203716764,7.892086173,82.98731884,1.173808201,7.460737697,-1,-1,-1,0.829637681,0.019740411,0.083542681,0.630598379,0.043316663,0.161328703,0.323309524,0.611377537,0.046930664,0.160251267,0.086213023,0.293183345,0.33397619,0.085291066,0.329854702,0.773956385,0.035157907,0.141135521,0.836431159,0.012565452,0.083631667,0.636798103,0.030001763,0.153380267,0.329098346,0.621392536,0.033188234,0.155024835,0.063536469,0.277113565,0.298015873,0.057238557,0.27830653,"0: 84.03%, 1: 15.97%",84.03,38
Tox21_MMP_training,7320,17.49,17.83,1,1,2,"0: 84.40%, 1: 15.60%",48,85.95491803,0.85954918,0.001757417,0.011852532,-1,-1,-1,-1,combined_dataset_summary_d6dd035a.csv,kernel_baseline_results_20251103_104504_3af044f0.csv,85.95491803,91.14344262,0.191651622,1.154683568,-1,-1,-1,-1,-1,-1,84.95628415,0.113280942,1.198809217,-1,-1,-1,84.99180328,0.124788932,1.234207776,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.855860656,0.001958053,0.01253649,0.587563319,0.006816119,0.022917886,0.296963648,0.608282661,0.008904007,0.030343846,0.016951573,0.058387376,0.197682109,0.014141243,0.048423872,"0: 84.40%, 1: 15.60%",84.4,1142
Tox21_PPAR-gamma_evaluation,602,17.38,17.77,1,1,2,"0: 94.85%, 1: 5.15%",23,94.85054645,0.948505464,4.06E-05,0.025579709,94.84726776,0.004955835,2.742064565,-1,combined_dataset_summary_6e01be2a.csv,kernel_baseline_results_20251103_104536_62d61e03.csv,94.85054645,94.18688525,0.458725513,2.992378666,93.97185792,0.45210291,2.936017455,94.37021858,0.248457423,3.268064241,94.40355191,0.256132204,2.744342202,94.33770492,0.271860532,2.87343667,94.40355191,0.256132204,2.744342202,-1,-1,-1,0.948472678,5.22E-05,0.027558786,0.515,0.024152295,0.085723304,0.03,0.50167498,0.02413728,0.088351072,0.048304589,0.171446608,0.03,0.048304589,0.171446608,,,,0.94136612,0.002596443,0.027980888,0.524226495,0.033946527,0.110834231,0.009,0.504288698,0.033056428,0.093731704,0.019119507,0.063714959,0.006666667,0.014054567,0.046901765,"0: 94.85%, 1: 5.15%",94.85,31
Tox21_PPAR-gamma_testing,267,22.04,22.93,1,1,2,"0: 94.38%, 1: 5.62%",15,94.44729345,0.944472934,0.001558902,0.043318421,94.26495726,0.235469698,4.720997164,-1,combined_dataset_summary_6e01be2a.csv,kernel_baseline_results_20251103_104536_62d61e03.csv,94.44729345,92.95441595,0.648083964,5.646541808,92.30769231,0.787351203,5.176686,93.71509972,0.768592116,4.710095381,93.33190883,1.115821159,4.682199667,93.71509972,0.768592116,4.710095381,93.42307692,0.59105824,4.535423508,-1,-1,-1,0.941538462,0.003640585,0.047683649,0.598622304,0.052744023,0.200906128,0.199811321,0.579625906,0.054955072,0.204905678,0.105410944,0.401640119,0.19962963,0.105415762,0.401287055,,,,0.929444444,0.008008252,0.046776862,0.627008888,0.056094914,0.211236024,0.036857143,0.574778465,0.043090703,0.193132077,0.028215776,0.139953856,0.036666667,0.031229932,0.145219367,"0: 94.38%, 1: 5.62%",94.38,15
Tox21_PPAR-gamma_training,8184,17.23,17.55,1,1,2,"0: 97.29%, 1: 2.71%",47,97.38881575,0.973888157,0.000122767,0.005476751,-1,-1,-1,-1,combined_dataset_summary_6e01be2a.csv,kernel_baseline_results_20251103_104536_62d61e03.csv,97.38881575,97.72488066,0.065980453,0.574946124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,0.973350529,0.000388071,0.005594062,0.52229205,0.004874698,0.023047243,0.080745025,0.53360809,0.008849945,0.039554516,0.017529309,0.078244284,0.045324984,0.00967,0.046233358,"0: 97.29%, 1: 2.71%",97.29,222
Tox21_aromatase_evaluation,528,16.74,16.99,1,1,2,"0: 92.61%, 1: 7.39%",22,92.7206096,0.927206096,0.002122241,0.032886214,92.49963716,0.309242686,3.34069955,-1,combined_dataset_summary_a5c524ea.csv,kernel_baseline_results.csv,92.7206096,91.21298984,0.681972482,4.425700161,91.72496372,0.329411037,3.335779654,92.0446299,0.307452814,3.337963705,92.10558781,0.328894456,3.668025273,91.95101597,0.291339895,3.448792821,91.91110305,0.309951154,3.692358949,-1,-1,-1,0.924234398,0.0022113,0.034040065,0.513750582,0.025940128,0.074916993,0.036190476,0.49823437,0.030539813,0.083890445,0.061309716,0.160861591,0.030333333,0.053436243,0.149003047,,,,0.912093614,0.00659249,0.036135319,0.53978237,0.026053273,0.098604812,0.10858153,0.530953764,0.021283897,0.094435919,0.040514845,0.183864233,0.091952381,0.028814618,0.174645076,"0: 92.61%, 1: 7.39%",92.61,39
Tox21_aromatase_testing,214,21.65,22.36,1,1,2,"0: 91.59%, 1: 8.41%",14,91.487013,0.91487013,0.002756747,0.058452825,90.77056277,0.913009489,6.337337063,-1,combined_dataset_summary_a5c524ea.csv,kernel_baseline_results.csv,91.487013,89.45021645,1.48100673,6.395700649,88.84848485,1.067334431,5.616996137,90.25974026,0.892079551,5.579967355,90.69047619,1.085987058,5.787159536,89.92857143,0.753672691,6.320528299,89.76406926,0.95950943,6.368662429,-1,-1,-1,0.902532468,0.010289951,0.069063902,0.589874851,0.068956878,0.193802945,0.198944515,0.548937811,0.05111673,0.185643314,0.137085489,0.390390745,0.195876623,0.136631421,0.386894185,,,,0.885757576,0.010201418,0.065946458,0.562063348,0.046050345,0.180967719,0.023,0.510529546,0.0238147,0.144579201,0.038887302,0.136222486,0.023333333,0.041722185,0.144133309,"0: 91.59%, 1: 8.41%",91.59,18
